epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,279.382,1.93247,3.26131,1.37659,0.07046,0.33294,0.19428,0.09765,1.70749,3.62435,1.166,0.000320988,0.000320988,0.000320988
2,933.252,1.75335,1.96899,1.30051,0.59067,0.12223,0.20237,0.11099,1.6134,3.17154,1.1298,0.000621932,0.000621932,0.000621932
3,1183.07,1.69946,1.71665,1.28233,0.68784,0.18874,0.30179,0.15414,1.65431,2.64155,1.19368,0.000889877,0.000889877,0.000889877
4,1451.49,1.67811,1.56794,1.28718,0.65658,0.29984,0.37386,0.19446,1.69774,2.18376,1.22276,0.0008515,0.0008515,0.0008515
5,1716.74,1.64724,1.47496,1.26803,0.7008,0.47961,0.52004,0.26944,1.6132,1.74998,1.19449,0.000802,0.000802,0.000802
6,1987.33,1.57196,1.37656,1.22793,0.70426,0.4659,0.52588,0.29082,1.54413,1.50283,1.16658,0.0007525,0.0007525,0.0007525
7,2256.76,1.56151,1.32085,1.22011,0.73474,0.47689,0.53552,0.29637,1.50125,1.42782,1.14692,0.000703,0.000703,0.000703
8,2564.95,1.50379,1.24768,1.19573,0.73103,0.5099,0.55002,0.30294,1.51208,1.37151,1.14278,0.0006535,0.0006535,0.0006535
9,3326.16,1.50631,1.17471,1.18062,0.72868,0.54733,0.60777,0.3247,1.51173,1.26221,1.14228,0.000604,0.000604,0.000604
10,3568.22,1.52313,1.17321,1.18026,0.75304,0.54086,0.59378,0.32764,1.47248,1.20532,1.12865,0.0005545,0.0005545,0.0005545
11,3841.19,1.4905,1.18315,1.18259,0.74855,0.54897,0.6091,0.33643,1.47978,1.17028,1.12982,0.000505,0.000505,0.000505
12,4072.91,1.48745,1.15181,1.18349,0.51198,0.66931,0.63211,0.34307,1.51897,1.23958,1.14783,0.0004555,0.0004555,0.0004555
13,4286.59,1.46706,1.09244,1.17835,0.74893,0.5521,0.65947,0.36113,1.48769,1.17339,1.13363,0.000406,0.000406,0.000406
14,4518.96,1.45046,1.07837,1.15838,0.65381,0.62587,0.66248,0.36375,1.47384,1.12831,1.13211,0.0003565,0.0003565,0.0003565
15,4768.89,1.43444,1.0365,1.15756,0.65983,0.63686,0.68913,0.39533,1.4387,1.07258,1.11497,0.000307,0.000307,0.000307
16,5056.53,1.41518,0.99326,1.14106,0.713,0.6252,0.68895,0.3829,1.46318,1.06265,1.12808,0.0002575,0.0002575,0.0002575
17,5364.46,1.4145,1.00079,1.13192,0.72475,0.61574,0.68729,0.38884,1.41534,1.00694,1.10603,0.000208,0.000208,0.000208
18,5636.62,1.39916,0.98617,1.1273,0.74941,0.60717,0.69569,0.39023,1.44197,1.01137,1.10581,0.0001585,0.0001585,0.0001585
19,5851.22,1.38473,0.95387,1.11596,0.74039,0.60323,0.72187,0.40936,1.4281,0.98383,1.10227,0.000109,0.000109,0.000109
20,6063.07,1.36734,0.9387,1.11548,0.73222,0.60717,0.71677,0.40705,1.42071,0.97051,1.09907,5.95e-05,5.95e-05,5.95e-05
